State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Highfill,763,2,2,0,,,,
,Highland,"1,084",3,3,0,,,,
,Hope,"10,463",34,23,11,,,,
,Horseshoe Bend,"2,208",6,6,0,,,,
,Hot Springs,"39,451",131,98,33,,,,
,Hoxie,"2,627",6,4,2,,,,
,Huntsville,"2,411",8,7,1,,,,
,Jacksonville,"31,316",76,64,12,,,,
,Jonesboro,"64,187",154,133,21,,,,
,Judsonia,"2,169",3,2,1,,,,
,Keiser,801,1,1,0,,,,
,Kensett,"1,820",4,4,0,,,,
,Lake City,"2,085",4,4,0,,,,
,Lakeview,857,2,2,0,,,,
,Lake Village,"2,413",13,7,6,,,,
,Leachville,"1,781",3,3,0,,,,
,Lepanto,"2,020",7,4,3,,,,
,Lewisville,"1,145",2,2,0,,,,
,Lincoln,"2,077",5,5,0,,,,
,Little Flock,"3,132",8,8,0,,,,
,Little Rock,"187,978",639,522,117,,,,
,Lonoke,"4,536",16,11,5,,,,
,Lowell,"7,274",22,15,7,,,,
,Luxora,"1,202",2,2,0,,,,
,Magnolia,"11,083",28,21,7,,,,
,Malvern,"8,946",26,23,3,,,,
,Mammoth Spring,"1,117",3,2,1,,,,
,Mansfield,"1,128",3,3,0,,,,
,Marianna,"4,341",17,12,5,,,,
,Marion,"11,349",25,23,2,,,,
,Marked Tree,"2,632",12,8,4,,,,
,Marmaduke,"1,176",4,4,0,,,,
,Marvell,"1,124",5,2,3,,,,
,Maumelle,"16,657",35,25,10,,,,
,Mayflower,"2,207",5,5,0,,,,
,McCrory,"1,560",5,5,0,,,,
,McGehee,"3,980",23,8,15,,,,
,McRae,701,1,1,0,,,,
,Mena,"5,581",14,13,1,,,,
,Mineral Springs,"1,255",3,3,0,,,,
,Monette,"1,223",3,3,0,,,,
,Monticello,"9,379",26,21,5,,,,
,Morrilton,"6,582",31,20,11,,,,
,Mountain Home,"12,637",52,33,19,,,,
,Mountain View,"3,081",9,8,1,,,,
,Mulberry,"1,732",3,3,0,,,,
,Murfreesboro,"1,656",3,3,0,,,,
,Nashville,"4,746",16,15,1,,,,
,Newport,"7,493",22,15,7,,,,
,North Little Rock,"59,369",220,187,33,,,,
,Ola,"1,230",3,3,0,,,,
,Osceola,"7,760",34,23,11,,,,
,Ozark,"3,562",10,8,2,,,,
,Paragould,"24,816",51,42,9,,,,
,Paris,"3,612",14,9,5,,,,
,Pea Ridge,"4,686",9,9,0,,,,
,Perryville,"1,450",5,5,0,,,,
,Piggott,"3,515",8,8,0,,,,
,Pine Bluff,"50,144",161,134,27,,,,
,Plummerville,867,3,3,0,,,,
,Pocahontas,"6,728",14,13,1,,,,
,Pottsville,"2,838",5,5,0,,,,
,Prairie Grove,"3,754",10,10,0,,,,
,Prescott,"4,571",10,9,1,,,,
,Quitman,739,4,4,0,,,,
,Ravenden,490,1,1,0,,,,
,Redfield,"1,175",5,4,1,,,,
,Rison,"1,306",3,3,0,,,,
,Rockport,805,6,5,1,,,,
,Rogers,"57,205",132,95,37,,,,
,Rose Bud,453,3,2,1,,,,
,Russellville,"27,059",58,50,8,,,,
,Salem,"1,553",3,3,0,,,,
,Searcy,"22,062",56,40,16,,,,
,Sheridan,"4,668",27,14,13,,,,
,Sherwood,"24,486",84,60,24,,,,
,Siloam Springs,"14,988",51,32,19,,,,
