State,City,Population,Total law enforcement employees,Total officers,Total civilians,,,,
,Erie,"103,881",182,161,21,,,,
,Etna,"3,556",8,7,1,,,,
,Everett,"1,846",4,4,0,,,,
,Exeter,"5,930",5,4,1,,,,
,"Exeter Township, Berks County","26,988",34,32,2,,,,
,"Exeter Township, Luzerne County","2,532",1,1,0,,,,
,"Fairview Township, Luzerne County","4,298",5,5,0,,,,
,"Fairview Township, York County","16,897",18,16,2,,,,
,Fallowfield Township,"4,188",1,1,0,,,,
,"Falls Township, Bucks County","33,696",59,52,7,,,,
,Fawn Township,"2,305",7,3,4,,,,
,Ferguson Township,"16,590",23,20,3,,,,
,Ferndale,"1,653",1,1,0,,,,
,Findlay Township,"5,034",23,16,7,,,,
,Fleetwood,"4,014",6,6,0,,,,
,Folcroft,"6,837",10,10,0,,,,
,Ford City,"3,157",3,3,0,,,,
,Forest City,"1,732",2,2,0,,,,
,Forest Hills,"6,231",12,11,1,,,,
,Forks Township,"14,603",24,23,1,,,,
,Forty Fort,"4,250",2,2,0,,,,
,Forward Township,"3,482",5,5,0,,,,
,Foster Township,"4,223",4,4,0,,,,
,Fountain Hill,"4,578",10,9,1,,,,
,Fox Chapel,"5,130",12,12,0,,,,
,Frackville,"4,127",5,5,0,,,,
,Franconia Township,"12,624",17,15,2,,,,
,Franklin Park,"12,109",13,12,1,,,,
,"Franklin Township, Beaver County","4,290",1,1,0,,,,
,"Franklin Township, Carbon County","4,914",4,4,0,,,,
,Frazer Township,"1,198",3,3,0,,,,
,Freedom,"1,592",1,1,0,,,,
,Freedom Township,"3,168",2,2,0,,,,
,Freeland,"3,390",2,2,0,,,,
,Freemansburg,"2,056",3,3,0,,,,
,Freeport,"1,805",2,2,0,,,,
,Galeton,"1,214",2,2,0,,,,
,Gallitzin,"1,874",4,4,0,,,,
,Geistown,"2,354",1,1,0,,,,
,Gettysburg,"8,097",15,11,4,,,,
,Gilberton,824,2,1,1,,,,
,Gilpin Township,"2,514",1,1,0,,,,
,Girard,"2,924",4,4,0,,,,
,Glassport,"4,542",6,6,0,,,,
,Glenolden,"7,213",10,9,1,,,,
,Granville Township,"4,925",9,7,2,,,,
,Greencastle,"4,100",6,5,1,,,,
,"Greenfield Township, Blair County","3,742",3,3,0,,,,
,Greensburg,"15,283",38,28,10,,,,
,Green Tree,"4,326",12,11,1,,,,
,Greenville,"6,094",10,9,1,,,,
,Greenwood Township,"2,068",1,1,0,,,,
,Grove City,"7,742",11,10,1,,,,
,Hamburg,"4,178",6,5,1,,,,
,Hampden Township,"27,012",25,24,1,,,,
,Hampton Township,"17,210",20,17,3,,,,
,Hanover,"14,972",22,20,2,,,,
,"Hanover Township, Luzerne County","11,008",15,15,0,,,,
,"Hanover Township, Washington County","2,708",9,3,6,,,,
,Harmar Township,"3,017",7,7,0,,,,
,Harmony Township,"3,050",5,5,0,,,,
,Harrisburg,"47,118",230,179,51,,,,
,Harrison Township,"9,963",21,18,3,,,,
,Harveys Lake,"2,936",8,4,4,,,,
,Hastings,"1,289",1,1,0,,,,
,Hatboro,"7,123",17,14,3,,,,
,Hatfield Township,"19,990",31,26,5,,,,
,Haverford Township,"48,044",81,69,12,,,,
,Hazleton,"21,788",34,31,3,,,,
,Hegins Township,"3,371",2,2,0,,,,
,Heidelberg,"1,145",3,3,0,,,,
,"Heidelberg Township, Berks County","1,764",1,1,0,,,,
,"Heidelberg Township, Lebanon County","4,148",2,2,0,,,,
,Hellam Township,"9,082",8,8,0,,,,
,Hellertown,"5,658",11,10,1,,,,
,Hemlock Township,"2,242",6,6,0,,,,
,Hempfield Township,"3,855",7,6,1,,,,
,Hermitage,"16,315",32,29,3,,,,
,Highspire,"2,604",7,6,1,,,,
,Hilltown Township,"13,494",20,17,3,,,,
,Hollidaysburg,"5,530",11,8,3,,,,
,Homer City,"1,714",2,2,0,,,,
,Homestead,"3,501",13,12,1,,,,
,Honesdale,"4,706",9,9,0,,,,
,Honey Brook,"1,516",1,1,0,,,,
,Hooversville,711,1,1,0,,,,
,Hopewell Township,"12,303",16,15,1,,,,
,Horsham Township,"24,734",49,40,9,,,,
,Hughesville,"2,041",1,1,0,,,,
,Hummelstown,"4,431",7,7,0,,,,
,Huntingdon,"6,799",13,12,1,,,,
,"Independence Township, Beaver County","2,681",3,3,0,,,,
,Indiana,"14,823",29,22,7,,,,
,Indiana Township,"7,026",9,9,0,,,,
,Industry,"1,790",2,2,0,,,,
,Ingram,"3,366",4,4,0,,,,
,Irwin,"4,046",4,4,0,,,,
,Ivyland,842,2,2,0,,,,
,"Jackson Township, Butler County","3,724",10,8,2,,,,
,"Jackson Township, Cambria County","4,713",2,2,0,,,,
,"Jackson Township, Luzerne County","4,765",4,4,0,,,,
,Jamestown,576,1,1,0,,,,
,Jeannette,"9,863",17,14,3,,,,
,Jefferson Hills Borough,"9,644",17,16,1,,,,
,"Jefferson Township, Mercer County","2,308",1,1,0,,,,
,Jenkins Township,"4,903",2,2,0,,,,
,Jenkintown,"4,296",13,11,2,,,,
,Jermyn,"2,222",1,1,0,,,,
,Jersey Shore,"4,290",7,6,1,,,,
,Jessup,"4,568",2,2,0,,,,
,Jim Thorpe,"4,889",7,6,1,,,,
,Johnsonburg,"2,687",2,2,0,,,,
,Johnstown,"23,172",51,45,6,,,,
,Kane,"3,762",5,5,0,,,,
,Kennedy Township,"9,765",15,11,4,,,,
,Kennett Square,"5,276",15,12,3,,,,
,Kidder Township,"1,424",10,10,0,,,,
,Kilbuck Township,658,14,11,3,,,,
,Kingston,"12,968",25,19,6,,,,
,Kingston Township,"7,087",11,11,0,,,,
,Kiskiminetas Township,"4,755",1,1,0,,,,
,Kittanning,"4,342",9,8,1,,,,
,Knox,"1,097",2,2,0,,,,
,Koppel,772,1,1,0,,,,
,Kulpmont,"2,744",1,1,0,,,,
,Kutztown,"5,091",12,10,2,,,,
,Laceyville,368,1,1,0,,,,
,Laflin Borough,"1,493",3,3,0,,,,
,Lake City,"2,883",3,3,0,,,,
,Lancaster,"54,595",192,161,31,,,,
,"Lancaster Township, Butler County","2,568",2,2,0,,,,
,Lansdale,"15,515",26,20,6,,,,
,Lansdowne,"10,660",19,16,3,,,,
,Lansford,"4,161",42,40,2,,,,
,Larksville,"4,446",4,4,0,,,,
,Latimore Township,"2,841",3,3,0,,,,
,Laureldale,"3,770",5,5,0,,,,
,"Lawrence Township, Clearfield County","7,476",10,9,1,,,,
,Lebanon,"24,212",54,47,7,,,,
,Leechburg,"2,203",2,2,0,,,,
,Leetsdale,"1,114",4,4,0,,,,
,Leet Township,"1,496",5,5,0,,,,
,Lehighton,"5,463",10,9,1,,,,
,"Lehigh Township, Northampton County","10,847",13,12,1,,,,
,Lehman Township,"3,322",2,2,0,,,,
,Lewisburg,"5,515",10,8,2,,,,
,Liberty,"2,432",1,1,0,,,,
,"Liberty Township, Adams County","1,284",1,1,0,,,,
,Ligonier,"1,608",3,3,0,,,,
,Ligonier Township,"6,754",3,3,0,,,,
,Limerick Township,"16,941",17,16,1,,,,
,Lincoln,"1,120",1,1,0,,,,
,Linesville,"1,093",1,1,0,,,,
,Lititz,"9,054",16,13,3,,,,
,Littlestown,"4,128",7,7,0,,,,
,Locust Township,"2,524",3,3,0,,,,
,Logan Township,"11,859",18,16,2,,,,
,Lower Allen Township,"17,862",23,21,2,,,,
,Lower Burrell,"12,098",16,16,0,,,,
,Lower Frederick Township,"4,817",3,3,0,,,,
,Lower Gwynedd Township,"11,375",19,18,1,,,,
,Lower Heidelberg Township,"5,369",8,8,0,,,,
,Lower Makefield Township,"32,212",42,38,4,,,,
,Lower Merion Township,"57,367",155,136,19,,,,
,Lower Milford Township,"3,901",1,1,0,,,,
,Lower Moreland Township,"12,609",26,21,5,,,,
,Lower Paxton Township,"45,354",67,60,7,,,,
,Lower Pottsgrove Township,"12,210",18,16,2,,,,
,Lower Providence Township,"26,430",38,33,5,,,,
,Lower Salford Township,"14,520",21,19,2,,,,
,Lower Saucon Township,"11,343",16,14,2,,,,
,Lower Southampton Township,"19,084",33,30,3,,,,
,Lower Swatara Township,"8,514",11,10,1,,,,
,Lower Windsor Township,"7,836",11,10,1,,,,
,Luzerne Township,"6,637",1,1,0,,,,
,Lykens,"1,850",2,2,0,,,,
,Macungie,"3,123",5,5,0,,,,
,Mahanoy City,"4,380",4,4,0,,,,
,Mahanoy Township,"3,727",1,1,0,,,,
,"Mahoning Township, Carbon County","4,405",5,5,0,,,,
,"Mahoning Township, Montour County","4,283",7,6,1,,,,
,Malvern,"3,104",5,4,1,,,,
,Manheim,"4,635",9,8,1,,,,
,Manheim Township,"36,306",69,54,15,,,,
,Manor,"2,901",3,3,0,,,,
,"Manor Township, Lancaster County","19,128",22,20,2,,,,
,Mansfield,"3,192",5,5,0,,,,
,Marietta,"2,591",15,14,1,,,,
,"Marion Township, Beaver County",880,1,1,0,,,,
,"Marion Township, Berks County","1,745",2,2,0,,,,
,Marlborough Township,"3,263",4,4,0,,,,
,Marple Township,"23,452",38,33,5,,,,
,Martinsburg,"2,120",2,2,0,,,,
,Marysville,"2,436",1,1,0,,,,
,Masontown,"3,395",5,5,0,,,,
,Mayfield,"1,699",1,1,0,,,,
,McAdoo,"2,090",2,2,0,,,,
,McCandless,"27,235",29,27,2,,,,
,McDonald Borough,"2,110",2,2,0,,,,
,McKeesport,"22,076",54,51,3,,,,
,McKees Rocks,"6,011",10,9,1,,,,
,McSherrystown,"2,800",5,5,0,,,,
,Meadville,"13,208",25,22,3,,,,
,Mechanicsburg,"8,772",17,16,1,,,,
,Media,"5,407",24,16,8,,,,
,Mercer,"2,211",4,4,0,,,,
,Mercersburg,"1,604",2,2,0,,,,
,Meshoppen,427,1,1,0,,,,
,Meyersdale,"2,281",3,2,1,,,,
,Middleburg,"1,333",3,2,1,,,,
,"Middlesex Township, Butler County","5,469",3,3,0,,,,
,"Middlesex Township, Cumberland County","6,832",10,9,1,,,,
,Middletown,"8,823",16,15,1,,,,
,Middletown Township,"46,788",61,54,7,,,,
,Midland,"2,841",5,4,1,,,,
,Mifflin,607,1,1,0,,,,
,Mifflinburg,"3,520",10,9,1,,,,
,Mifflin County Regional,"26,321",27,25,2,,,,
,Milford,"2,861",2,2,0,,,,
,"Millcreek Township, Erie County","51,622",75,59,16,,,,
,"Millcreek Township, Lebanon County","3,174",3,3,0,,,,
,Millersburg,"2,462",5,4,1,,,,
,Millersville,"7,196",14,12,2,,,,
,Millvale,"3,650",4,4,0,,,,
,Millville,943,1,1,0,,,,
,Milton,"6,331",10,9,1,,,,
,Minersville,"4,223",5,5,0,,,,
,Mohnton,"3,093",5,5,0,,,,
,Monaca,"5,737",8,8,0,,,,
,Monessen,"8,015",12,12,0,,,,
,Monongahela,"4,405",10,8,2,,,,
,Monroeville,"27,531",56,52,4,,,,
,Montgomery,"5,067",3,3,0,,,,
,Montgomery Township,"24,166",45,36,9,,,,
,Montrose,"1,536",1,1,0,,,,
,Moon Township,"22,677",36,30,6,,,,
,Moore Township,"9,458",8,7,1,,,,
,Moosic,"5,777",10,10,0,,,,
,Morris-Cooper Regional,"5,631",1,1,0,,,,
,Morrisville,"9,604",12,11,1,,,,
,Morton,"2,631",5,4,1,,,,
,Moscow,"1,958",3,3,0,,,,
,Mount Carmel,"5,859",9,9,0,,,,
,Mount Carmel Township,"2,566",5,5,0,,,,
,Mount Holly Springs,"1,914",2,2,0,,,,
,Mount Joy,"7,306",15,13,2,,,,
,Mount Lebanon,"30,326",55,44,11,,,,
,Mount Oliver,"3,647",9,9,0,,,,
,Mount Pleasant,"4,382",3,3,0,,,,
,Mount Pleasant Township,"3,632",1,1,0,,,,
,Mount Union,"2,339",4,4,0,,,,
,Muhlenberg Township,"18,589",30,28,2,,,,
,Muncy,"2,461",3,3,0,,,,
,Munhall,"11,185",26,22,4,,,,
,Murrysville,"19,511",26,21,5,,,,
,Myerstown,"3,114",3,3,0,,,,
,Nanticoke,"10,205",14,13,1,,,,
,Narberth,"4,039",5,5,0,,,,
,Neshannock Township,"9,341",8,7,1,,,,
,Nether Providence Township,"13,160",16,15,1,,,,
,Neville Township,"1,121",13,11,2,,,,
,Newberry Township,"15,531",18,16,2,,,,
,New Bethlehem,980,2,2,0,,,,
,New Brighton,"9,320",9,9,0,,,,
,New Britain,"2,270",6,5,1,,,,
,New Britain Township,"11,003",14,12,2,,,,
,New Castle,"24,232",37,35,2,,,,
,New Castle Township,395,1,1,0,,,,
,New Cumberland,"7,073",9,8,1,,,,
,New Garden Township,"11,857",12,10,2,,,,
,New Hanover Township,"9,285",11,10,1,,,,
,New Holland,"5,152",13,12,1,,,,
,New Hope,"2,272",11,9,2,,,,
,New Kensington,"13,594",28,23,5,,,,
,Newport,"1,469",2,2,0,,,,
,Newport Township,"4,770",1,1,0,,,,
,New Sewickley Township,"7,586",9,8,1,,,,
,Newton Township,"2,787",1,1,0,,,,
,Newtown,"2,371",5,5,0,,,,
,"Newtown Township, Bucks County","18,966",32,28,4,,,,
,"Newtown Township, Delaware County","11,817",18,16,2,,,,
,Newville,"1,311",2,2,0,,,,
,New Wilmington,"2,378",4,4,0,,,,
,Norristown,"31,195",79,69,10,,,,
,Northampton,"9,890",13,11,2,,,,
,Northampton Township,"40,879",49,43,6,,,,
,North Belle Vernon,"1,951",3,2,1,,,,
,North Braddock,"5,811",4,4,0,,,,
,North Catasauqua,"2,839",5,5,0,,,,
,North Charleroi,"1,307",1,1,0,,,,
,North Cornwall Township,"6,558",10,9,1,,,,
,North Coventry Township,"7,702",13,12,1,,,,
,"North East, Erie County","4,186",7,6,1,,,,
,Northeastern Regional,"11,118",12,10,2,,,,
,Northern Berks Regional,"12,425",15,14,1,,,,
,Northern Cambria Borough,"3,922",5,5,0,,,,
,Northern Regional,"27,783",30,28,2,,,,
,Northern York Regional,"65,214",50,46,4,,,,
,North Fayette Township,"13,054",24,20,4,,,,
,North Franklin Township,"4,639",6,6,0,,,,
,North Huntingdon Township,"29,381",36,29,7,,,,
,North Lebanon Township,"10,939",12,10,2,,,,
,North Londonderry Township,"6,976",9,8,1,,,,
,North Middleton Township,"11,252",10,9,1,,,,
,North Sewickley Township,"5,620",1,1,0,,,,
,North Strabane Township,"12,288",20,19,1,,,,
,Northumberland,"3,495",5,5,0,,,,
,North Versailles Township,"12,200",22,18,4,,,,
,North Wales,"3,229",5,4,1,,,,
,Northwest Lancaster County Regional,"17,962",16,15,1,,,,
,Northwest Lawrence County Regional,"6,687",2,2,0,,,,
,Norwood,"5,782",7,7,0,,,,
,Oakmont,"6,413",7,7,0,,,,
,O'Hara Township,"9,536",16,15,1,,,,
,Ohio Township,"4,116",5,5,0,,,,
,Ohioville,"3,611",2,2,0,,,,
,Oil City,"10,608",23,18,5,,,,
,Old Forge,"8,521",4,4,0,,,,
,Old Lycoming Township,"5,273",9,8,1,,,,
,Oley Township,"3,655",6,6,0,,,,
,Olyphant,"4,944",5,5,0,,,,
,Orangeville Area,"1,635",1,1,0,,,,
,Orwigsburg,"2,972",4,4,0,,,,
,Oxford,"4,662",12,11,1,,,,
,Paint Township,"3,153",5,4,1,,,,
,Palmerton,"5,244",9,8,1,,,,
,Palmer Township,"20,311",34,31,3,,,,
,Palmyra,"6,981",10,9,1,,,,
,Parkesburg,"3,439",11,10,1,,,,
,Patterson Area,"3,566",4,4,0,,,,
,Patton,"1,845",2,2,0,,,,
,Patton Township,"13,258",19,17,2,,,,
,Paxtang,"1,486",3,3,0,,,,
,Pen Argyl,"3,643",5,5,0,,,,
,Penbrook,"2,915",6,6,0,,,,
,Penn Hills,"43,835",58,53,5,,,,
,Pennridge Regional,"10,479",15,13,2,,,,
,"Penn Township, Butler County","5,150",4,3,1,,,,
,"Penn Township, Lancaster County","8,495",12,11,1,,,,
,"Penn Township, Westmoreland County","20,221",21,19,2,,,,
,"Penn Township, York County","15,931",22,20,2,,,,
,Pequea Township,"4,533",8,8,0,,,,
,Perkasie,"8,633",22,18,4,,,,
,Perryopolis,"1,718",2,2,0,,,,
,Peters Township,"20,244",23,21,2,,,,
,Philadelphia,"1,441,117","7,623","6,764",859,,,,
,Phoenixville,"16,410",28,27,1,,,,
,Pine Grove,"2,045",1,1,0,,,,
,Pitcairn,"3,338",2,2,0,,,,
,Pittsburgh,"309,757",912,850,62,,,,
,Pittston,"7,556",10,10,0,,,,
,Plainfield Township,"6,152",13,12,1,,,,
,Plains Township,"10,452",17,16,1,,,,
,Pleasant Hills,"7,734",19,17,2,,,,
,Plum,"26,108",30,24,6,,,,
,Plumstead Township,"11,825",16,14,2,,,,
,Plymouth,"6,055",4,4,0,,,,
,"Plymouth Township, Montgomery County","16,323",52,45,7,,,,
,Pocono Mountain Regional,"35,481",42,37,5,,,,
,Pocono Township,"11,214",18,18,0,,,,
,Point Marion,"1,247",1,1,0,,,,
,Point Township,"3,828",5,5,0,,,,
,Polk,995,2,2,0,,,,
,Portage,"2,582",2,2,0,,,,
,Port Allegany,"2,188",3,3,0,,,,
,Port Carbon,"1,749",2,2,0,,,,
,Port Vue,"3,838",4,4,0,,,,
,Pottstown,"21,285",60,46,14,,,,
,Pottsville,"14,416",28,28,0,,,,
,Prospect Park,"6,386",9,9,0,,,,
,Punxsutawney,"5,937",11,8,3,,,,
,Pymatuning Township,"3,559",4,4,0,,,,
,Quakertown,"8,656",23,15,8,,,,
,Quarryville,"2,166",4,4,0,,,,
,Raccoon Township,"3,211",4,4,0,,,,
,Radnor Township,"31,231",57,47,10,,,,
,Ralpho Township,"3,884",6,6,0,,,,
,Rankin,"2,105",1,1,0,,,,
,Reading,"80,860",227,199,28,,,,
,Redstone Township,"6,051",1,1,0,,,,
,Reserve Township,"3,525",6,6,0,,,,
,Reynoldsville,"2,546",2,2,0,,,,
,Rice Township,"2,919",5,5,0,,,,
,"Richland Township, Bucks County","12,700",13,11,2,,,,
,"Richland Township, Cambria County","12,342",20,19,1,,,,
,Ridgway,"4,104",4,4,0,,,,
,Ridley Park,"6,993",10,10,0,,,,
,Ridley Township,"29,895",37,32,5,,,,
,Riverside,"1,821",3,3,0,,,,
,Roaring Brook Township,"1,809",2,2,0,,,,
,Roaring Spring,"2,257",2,2,0,,,,
,Robesonia,"2,058",2,2,0,,,,
,Robeson Township,"7,640",7,6,1,,,,
,"Robinson Township, Allegheny County","13,373",26,21,5,,,,
,"Robinson Township, Washington County","2,117",2,2,0,,,,
,Rochester,"3,644",11,9,2,,,,
,Rochester Township,"2,862",4,4,0,,,,
,Rockledge,"2,478",5,5,0,,,,
,Roseto,"1,643",2,2,0,,,,
,Rosslyn Farms,424,2,2,0,,,,
,Ross Township,"30,448",43,43,0,,,,
,Rostraver Township,"11,625",15,14,1,,,,
,Royalton,943,1,1,0,,,,
,Royersford,"4,356",8,7,1,,,,
,Rush Township,"3,724",3,3,0,,,,
,Rye Township,"2,534",1,1,0,,,,
,"Sadsbury Township, Chester County","3,385",2,2,0,,,,
,"Salem Township, Luzerne County","4,114",3,3,0,,,,
,Salisbury Township,"14,057",18,16,2,,,,
,Sandy Lake,692,1,1,0,,,,
,Sandy Township,"11,550",10,9,1,,,,
,Saxton,755,1,1,0,,,,
,Sayre,"5,457",14,14,0,,,,
,Schuylkill Haven,"5,164",8,8,0,,,,
,"Schuylkill Township, Chester County","7,733",13,11,2,,,,
,Scottdale,"4,410",7,7,0,,,,
,"Scott Township, Allegheny County","15,850",20,19,1,,,,
,"Scott Township, Columbia County","5,033",11,11,0,,,,
,"Scott Township, Lackawanna County","4,928",5,5,0,,,,
,Scranton,"72,247",170,150,20,,,,
,Selinsgrove,"5,283",7,6,1,,,,
,Seven Springs,117,7,6,1,,,,
,Seward,453,1,1,0,,,,
,Sewickley,"4,077",13,12,1,,,,
,Sewickley Heights,916,5,3,2,,,,
,Shaler Township,"27,911",28,27,1,,,,
,Shamokin,"7,326",14,14,0,,,,
,Shamokin Dam,"1,438",3,3,0,,,,
,Sharon,"14,853",29,27,2,,,,
,Sharon Hill,"5,317",8,7,1,,,,
,Sharpsburg,"3,258",6,6,0,,,,
,Sharpsville,"4,095",6,5,1,,,,
,Sheffield Township,"2,203",2,2,0,,,,
,Shenandoah,"5,157",8,7,1,,,,
,"Shenango Township, Lawrence County","7,640",6,6,0,,,,
,Shillington,"5,022",8,8,0,,,,
,Shippensburg,"5,611",12,10,2,,,,
,Shippingport,219,2,2,0,,,,
,Shiremanstown,"1,469",2,2,0,,,,
,Shohola Township,"2,426",1,1,0,,,,
,Silver Lake Township,"1,732",2,2,0,,,,
,Silver Spring Township,"13,110",15,14,1,,,,
,Sinking Spring,"3,603",6,6,0,,,,
,Slatington,"4,405",7,7,0,,,,
,Slippery Rock,"3,320",4,4,0,,,,
,Smethport,"1,561",2,2,0,,,,
,Smith Township,"4,467",1,1,0,,,,
,Solebury Township,"8,795",15,13,2,,,,
,Somerset,"6,366",7,6,1,,,,
,Souderton,"6,553",6,6,0,,,,
,South Abington Township,"9,528",12,10,2,,,,
,South Annville Township,"3,193",2,2,0,,,,
,South Beaver Township,"2,819",4,4,0,,,,
,South Buffalo Township,"2,794",2,2,0,,,,
,South Centre Township,"1,909",4,4,0,,,,
,South Coatesville,"1,078",1,1,0,,,,
,South Connellsville Borough,"2,153",2,2,0,,,,
,Southern Regional York County,"10,007",12,11,1,,,,
,South Fayette Township,"13,213",18,17,1,,,,
,South Fork,"1,025",2,2,0,,,,
,South Greensburg,"2,219",2,2,0,,,,
,South Heidelberg Township,"7,264",7,7,0,,,,
,South Lebanon Township,"8,637",8,7,1,,,,
,South Londonderry Township,"7,336",6,6,0,,,,
,South Park Township,"13,811",18,17,1,,,,
,South Pymatuning Township,"2,801",2,2,0,,,,
,South Strabane Township,"8,767",15,14,1,,,,
,South Waverly,963,3,3,0,,,,
,Southwestern Regional,"18,269",14,13,1,,,,
,Southwest Greensburg,"2,200",2,2,0,,,,
,Southwest Mercer County Regional,"11,149",21,20,1,,,,
,Southwest Regional,"2,159",3,2,1,,,,
,South Whitehall Township,"19,679",40,37,3,,,,
,South Williamsport,"6,008",9,8,1,,,,
,Spring City,"3,407",4,3,1,,,,
,Springdale,"3,482",2,2,0,,,,
,Springdale Township,"1,647",3,3,0,,,,
,Springettsbury Township,"24,957",35,32,3,,,,
,"Springfield Township, Bucks County","5,084",2,2,0,,,,
,"Springfield Township, Delaware County","22,809",40,34,6,,,,
,"Springfield Township, Montgomery County","18,843",30,29,1,,,,
,Spring Garden Township,"12,146",20,18,2,,,,
,"Spring Township, Berks County","26,765",30,28,2,,,,
,"Spring Township, Centre County","6,866",7,6,1,,,,
,State College,"54,065",78,65,13,,,,
,St. Clair Boro,"2,989",6,6,0,,,,
,Steelton,"5,590",9,8,1,,,,
,Stewartstown,"2,004",6,5,1,,,,
,St. Marys City,"13,432",16,15,1,,,,
,Stoneboro,"1,013",1,1,0,,,,
,Stonycreek Township,"2,903",2,2,0,,,,
,Stowe Township,"6,090",8,7,1,,,,
,Strasburg,"2,747",4,4,0,,,,
,Stroud Area Regional,"34,393",59,54,5,,,,
,Sugarcreek,"4,968",5,5,0,,,,
,"Sugarloaf Township, Luzerne County","4,053",6,6,0,,,,
,Summerhill Township,"2,576",2,2,0,,,,
,Summit Hill,"2,978",6,4,2,,,,
,Summit Township,"2,251",2,2,0,,,,
,Sunbury,"9,768",14,12,2,,,,
,Susquehanna Regional,"6,711",15,14,1,,,,
,"Susquehanna Township, Dauphin County","22,920",42,40,2,,,,
,Swarthmore,"6,074",9,9,0,,,,
,Swatara Township,"22,413",42,40,2,,,,
,Sweden Township,710,2,2,0,,,,
,Swissvale,"8,751",14,14,0,,,,
,Swoyersville,"7,605",7,7,0,,,,
,Sykesville,"1,167",2,2,0,,,,
,Tamaqua,"6,583",10,9,1,,,,
,Tarentum,"4,526",8,7,1,,,,
,Tatamy,"1,101",1,1,0,,,,
,Taylor,"6,167",7,7,0,,,,
,Telford,"4,617",7,6,1,,,,
,Throop,"4,056",4,4,0,,,,
,Tidioute,717,1,1,0,,,,
,Tilden Township,"3,831",2,2,0,,,,
,"Tinicum Township, Bucks County","4,224",5,5,0,,,,
,"Tinicum Township, Delaware County","4,201",17,15,2,,,,
,Titusville,"5,751",13,13,0,,,,
,Towamencin Township,"17,601",36,24,12,,,,
,Towanda,"2,833",6,6,0,,,,
,Trafford,"3,008",2,2,0,,,,
,Trainer,"1,833",6,6,0,,,,
,Tredyffrin Township,"28,963",50,50,0,,,,
,Troy,"1,464",3,3,0,,,,
,Tullytown,"1,961",7,6,1,,,,
,Tulpehocken Township,"3,564",3,2,1,,,,
,Tunkhannock,"1,772",4,4,0,,,,
,"Tunkhannock Township, Wyoming County","4,285",4,4,0,,,,
,Turtle Creek,"5,544",6,6,0,,,,
,Union City,"3,294",3,3,0,,,,
,Uniontown,"11,670",18,18,0,,,,
,"Union Township, Lawrence County","5,025",3,3,0,,,,
,Upland,"2,868",2,2,0,,,,
,Upper Burrell Township,"2,128",2,2,0,,,,
,Upper Chichester Township,"17,705",25,23,2,,,,
,Upper Darby Township,"78,550",145,126,19,,,,
,Upper Dublin Township,"25,860",47,40,7,,,,
,Upper Gwynedd Township,"15,978",25,22,3,,,,
,Upper Makefield Township,"8,509",19,18,1,,,,
,Upper Merion Township,"26,457",85,64,21,,,,
,Upper Moreland Township,"24,166",50,39,11,,,,
,Upper Nazareth Township,"5,877",4,3,1,,,,
,Upper Perkiomen,"6,350",10,9,1,,,,
,Upper Pottsgrove Township,"5,201",9,8,1,,,,
,"Upper Providence Township, Delaware County","11,078",14,13,1,,,,
,"Upper Providence Township, Montgomery County","19,516",24,22,2,,,,
,Upper Saucon Township,"14,888",21,20,1,,,,
,Upper Southampton Township,"15,249",25,22,3,,,,
,Upper St. Clair Township,"18,812",35,28,7,,,,
,Upper Uwchlan Township,"11,351",10,10,0,,,,
,Upper Yoder Township,"5,494",13,13,0,,,,
,Uwchlan Township,"18,715",24,22,2,,,,
,Valley Township,"6,609",4,4,0,,,,
,Vandergrift,"4,998",8,8,0,,,,
,Vernon Township,"5,415",5,4,1,,,,
,Verona,"2,837",5,4,1,,,,
,Walker Township,980,1,1,0,,,,
,Walnutport,"2,214",4,4,0,,,,
,Warminster Township,"33,702",58,52,6,,,,
,Warren,"9,378",20,16,4,,,,
,Warrington Township,"23,162",34,31,3,,,,
,"Warwick Township, Bucks County","14,715",22,20,2,,,,
,"Warwick Township, Lancaster County","17,221",18,16,2,,,,
,"Washington, Washington County","14,586",33,31,2,,,,
,"Washington Township, Fayette County","4,158",3,3,0,,,,
,"Washington Township, Northampton County","4,897",4,4,0,,,,
,"Washington Township, Westmoreland County","7,360",7,7,0,,,,
,Watsontown,"2,090",5,5,0,,,,
,Waynesboro,"9,934",21,19,2,,,,
,Waynesburg,"4,169",9,8,1,,,,
,Weatherly,"2,604",3,3,0,,,,
,Weissport,428,1,1,0,,,,
,Wellsboro,"3,228",6,6,0,,,,
,Wernersville,"2,501",2,2,0,,,,
,Wesleyville,"3,301",11,10,1,,,,
,West Brandywine Township,"7,756",8,7,1,,,,
,West Caln Township,"8,430",2,2,0,,,,
,West Chester,"18,273",60,47,13,,,,
,West Conshohocken,"1,515",10,9,1,,,,
,West Deer Township,"11,949",12,11,1,,,,
,West Earl Township,"7,724",6,6,0,,,,
,West Fallowfield Township,"2,596",1,1,0,,,,
,Westfield,"1,115",2,2,0,,,,
,West Goshen Township,"21,168",31,27,4,,,,
,West Grove Borough,"2,771",2,2,0,,,,
,West Hazleton,"3,313",2,1,1,,,,
,West Hempfield Township,"16,059",21,19,2,,,,
,West Hills Regional,"10,667",12,11,1,,,,
,West Homestead,"1,994",8,7,1,,,,
,West Lampeter Township,"15,609",16,15,1,,,,
,West Manchester Township,"18,433",29,26,3,,,,
,West Manheim Township,"7,477",7,7,0,,,,
